Player,Country,,Position,born
Zidane Iqbal,Iraq,Iraq,Midfielder,27-04-2003
Denis Irwin,Ireland,Ireland,Defender,31-10-1965
Tommy Jackson,Northern Ireland,Northern Ireland,Midfielder,03-11-1946
William Jackson,Wales,Wales,Forward,27/01/1876
Daniel James,Wales,Wales,Midfielder,10-11-1997
Matty James,England,England,Midfielder,22-07-1991
Reece James,England,England,Defender,07-11-1993
Steve James,England,England,Defender,29-11-1949
Saidy Janko,Switzerland,Switzerland,Defender,22-10-1995
Adnan Januzaj,Belgium,Belgium,Midfielder,05-02-1995
Joel Pereira,Portugal,Portugal,Goalkeeper,28-06-1996
Roy John,Wales,Wales,Goalkeeper,29-01-1911
Ronny Johnsen,Norway,Norway,Defender,10-06-1969
David Johnson,Jamaica,Jamaica,Forward,15-08-1976
Eddie Johnson,England,England,Forward,20-09-1984
Billy Johnston,Scotland,Scotland,Defender,16-01-1901
Sam Johnstone,England,England,Goalkeeper,25-03-1993
David Jones,England,England,Midfielder,04-11-1984
Fred Jones,Wales,Wales,Defender,01/1867
Mark Jones,England,England,Defender,15-06-1933
Peter Jones,England,England,Defender,30-11-1937
Phil Jones,England,England,Defender,21-02-1992
Ritchie Jones,England,England,Midfielder,26-09-1986
Tom Jones,Wales,Wales,Defender,06/12/1899
Tommy Jones,Wales,Wales,Forward,06-12-1909
Joe Jordan,Scotland,Scotland,Forward,15-12-1951
Nikola Jovanovi?,Montenegro,Montenegro,Defender,18-09-1952
Shinji Kagawa,Japan,Japan,Midfielder,17-03-1989
Andrey Kanchelskis,Russia,Russia,Midfielder,23-01-1969
Michael Keane,England,England,Defender,11-01-1993
Roy Keane,Ireland,Ireland,Midfielder,10-08-1971
Will Keane,Ireland,Ireland,Forward,11-01-1993
Andrew Kellett,England,England,Defender,10-11-1993
James Kelly,England,England,Midfielder,02-05-1957
Fred Kennedy,England,England,Forward,23-10-1902
Pat Kennedy,Ireland,Ireland,Defender,09-10-1934
Brian Kidd,England,England,Forward,29-05-1949
Joshua King,Norway,Norway,Forward,15-01-1992
Albert Kinsey,England,England,Forward,16-09-1945
Kléberson,Brazil,Brazil,Midfielder,19-06-1979
Frank Kopel,Scotland,Scotland,Defender,28-03-1949
Mat?j Ková?,Czech Republic,Czech Republic,Goalkeeper,17-05-2000
Tomasz Kuszczak,Poland,Poland,Goalkeeper,20-03-1982
Ethan Laird,England,England,Defender,05-08-2001
Joe Lancaster,England,England,Goalkeeper,28-04-1926
Martin Lane,England,England,Defender,12-04-1961
Tommy Lang,Scotland,Scotland,Forward,03-04-1906
Len Langford,England,England,Goalkeeper,30/05/1899
Henrik Larsson,Sweden,Sweden,Forward,20-09-1971
Denis Law,Scotland,Scotland,Forward,24-02-1940
Tom Lawrence,Wales,Wales,Forward,13-01-1994
Craig Lawton,England,England,Midfielder,05-01-1972
Nobby Lawton,England,England,Forward,25-03-1940
Kieran Lee,England,England,Defender,22-06-1988
Jim Leighton,Scotland,Scotland,Goalkeeper,24-07-1958
Dylan Levitt,Wales,Wales,Midfielder,17-11-2000
Eddie Lewis,England,England,Forward,03-01-1935
Leslie Lievesley,England,England,Defender,23-06-1911
Anders Lindegaard,Denmark,Denmark,Goalkeeper,13-04-1984
Victor Lindelöf,Sweden,Sweden,Defender,17-07-1994
Jesse Lingard,England,England,Midfielder,15-12-1992
George Livingstone,Scotland,Scotland,Forward,05/05/1870
Arthur Lochhead,Scotland,Scotland,Forward,08/12/1897
Donald Love,Scotland,Scotland,Defender,02-12-1994
John Lowey,England,England,Midfielder,07-03-1958
Tommy Lowrie,Scotland,Scotland,Midfielder,14-01-1928
Romelu Lukaku,Belgium,Belgium,Forward,13-05-1993
George Lydon,England,England,Defender,24-06-1902
Mark Lynch,England,England,Defender,02-09-1981
Davy Lyner,Northern Ireland,Northern Ireland,Forward,09/01/1893
Sammy Lynn,England,England,Defender,25-12-1920
Lou Macari,Scotland,Scotland,Midfielder,04-06-1949
Ted MacDougall,Scotland,Scotland,Forward,08-01-1947
Federico Macheda,Italy,Italy,Forward,22-08-1991
Jon Macken,Ireland,Ireland,Forward,07-09-1977
Harry Maguire,England,England,Defender,05-03-1993
Giuliano Maiorana,England,England,Midfielder,18-04-1969
Tyrell Malacia,Netherlands,Netherlands,Defender,17-08-1999
Tom Manley,England,England,Forward,07-10-1912
Frank Mann,England,England,Defender,17/03/1891
Herbert Mann,England,England,Forward,30-12-1907
Manucho,Angola,Angola,Forward,07-03-1983
Phil Marsh,England,England,Forward,15-11-1986
Anthony Martial,France,France,Forward,05-12-1995
Lee Martin,England,England,Defender,05-02-1968
Lee Martin,England,England,Midfielder,09-02-1987
Mick Martin,Ireland,Ireland,Midfielder,09-07-1951
Lisandro Martínez,Argentina,Argentina,Defender,18-01-1998
Mata,Spain,Spain,Midfielder,28-04-1988
Nemanja Mati?,Serbia,Serbia,Midfielder,01-08-1988
David May,England,England,Defender,24-06-1970
Neil McBain,Scotland,Scotland,Defender,15/11/1895
Jim McCalliog,Scotland,Scotland,Midfielder,23-09-1946
William McCartney,Scotland,Scotland,Forward,30/04/1879
Brian McClair,Scotland,Scotland,Forward,08-12-1963
Jimmy McClelland,Scotland,Scotland,Forward,11-05-1902
David McCreery,Northern Ireland,Northern Ireland,Midfielder,16-09-1957
Noel McFarlane,Ireland,Ireland,Forward,20-12-1934
Scott McGarvey,Scotland,Scotland,Forward,22-04-1963
Pat McGibbon,Northern Ireland,Northern Ireland,Defender,06-09-1973
Sean McGinty,Ireland,Ireland,Defender,11-08-1993
Billy McGlen,England,England,Midfielder,27-04-1921
Chris McGrath,Northern Ireland,Northern Ireland,Midfielder,29-11-1954
Paul McGrath,Ireland,Ireland,Defender,04-12-1959
Wilf McGuinness,England,England,Midfielder,25-10-1937
Sammy McIlroy,Northern Ireland,Northern Ireland,Midfielder,02-08-1954
Ed McIlvenny,USA,USA,Midfielder,21-10-1924
Bill McKay,Scotland,Scotland,Midfielder,24-08-1906
Colin McKee,Scotland,Scotland,Forward,22-08-1973
George McLachlan,Scotland,Scotland,Forward,21-09-1902
Hughie McLenahan,England,England,Defender,23-03-1909
Alan McLoughlin,Ireland,Ireland,Midfielder,20-04-1967
Sammy McMillan,Northern Ireland,Northern Ireland,Forward,20-09-1941
Walter McMillen,Northern Ireland,Northern Ireland,Midfielder,24-11-1913
Paddy McNair,Northern Ireland,Northern Ireland,Defender,27-04-1995
Tommy McNulty,England,England,Defender,30-12-1929
Frank McPherson,England,England,Forward,14-05-1901
Gordon McQueen,Scotland,Scotland,Defender,26-06-1952
Harry McShane,Scotland,Scotland,Forward,08-04-1920
Paul McShane,Ireland,Ireland,Defender,06-01-1986
Scott McTominay,Scotland,Scotland,Midfielder,08-12-1996
Hannibal Mejbri,Tunisia,Tunisia,Midfielder,21-01-2003
D'Mani Mellor,England,England,Forward,20-09-2000
Jack Mellor,England,England,Defender,Jul-06
Teden Mengi,England,England,Defender,30-04-2002
Billy Meredith,Wales,Wales,Forward,30/07/1874
Jack Mew,England,England,Goalkeeper,30/03/1889
Gary Micklewhite,England,England,Midfielder,21-03-1961
Liam Miller,Ireland,Ireland,Midfielder,13-02-1981
Thomas Miller,Scotland,Scotland,Midfielder,
Ralph Milne,Scotland,Scotland,Midfielder,13-05-1961
Demetri Mitchell,England,England,Defender,11-01-1997
Charlie Mitten,England,England,Forward,17-01-1921
Henrikh Mkhitaryan,Armenia,Armenia,Midfielder,21-01-1989
George Henry Moger,England,England,Goalkeeper,03/09/1879
Ian Moir,Scotland,Scotland,Midfielder,30-06-1943
John Moody,England,England,Goalkeeper,01-11-1904
Jackie Mooney,Ireland,Ireland,Forward,1938
Charlie Moore,England,England,Defender,03/06/1893
Graham Moore,Wales,Wales,Midfielder,07-03-1941
Kevin Moran,Ireland,Ireland,Defender,29-04-1956
Kyle Moran,Ireland,Ireland,Forward,07-06-1987
Willie Morgan,Scotland,Scotland,Forward,02-10-1944
Kenny Morgans,Wales,Wales,Forward,16-03-1939
Johnny Morris,England,England,Forward,27-09-1923
Ravel Morrison,Jamaica,Jamaica,Midfielder,02-02-1993
Tom Morrison,Northern Ireland,Northern Ireland,Midfielder,01/02/1874
Remi Moses,England,England,Midfielder,14-11-1960
Arnold Mühren,Netherlands,Netherlands,Midfielder,02-06-1951
Phil Mulryne,Northern Ireland,Northern Ireland,Midfielder,01-01-1978
Colin Murdock,Northern Ireland,Northern Ireland,Defender,02-07-1975
George Mutch,Scotland,Scotland,Forward,21-09-1912
Floribert N'Galula,Belgium,Belgium,Midfielder,07-03-1987
Nani,Portugal,Portugal,Forward,17-11-1986
Daniel Nardiello,Wales,Wales,Forward,22-10-1982
Gary Neville,England,England,Defender,18-02-1975
Phil Neville,England,England,Defender,21-01-1977
George Nevin,England,England,Defender,16-12-1907
Erik Nevland,Norway,Norway,Forward,10-11-1977
Jimmy Nicholl,Northern Ireland,Northern Ireland,Defender,28-12-1956
Jimmy Nicholson,Northern Ireland,Northern Ireland,Midfielder,27-02-1943
Geordie Nicol,Scotland,Scotland,Forward,14-12-1903
Bobby Noble,England,England,Defender,18-12-1945
Oliver Norwood,Northern Ireland,Northern Ireland,Midfielder,12-04-1991
Alex Notman,Scotland,Scotland,Forward,10-12-1979
Liam O'Brien,Ireland,Ireland,Midfielder,05-09-1964
Ray O'Brien,Ireland,Ireland,Defender,21-05-1951
Pat O'Connell,Ireland,Ireland,Midfielder,08/03/1887
Kieran O'Hara,Ireland,Ireland,Goalkeeper,22-04-1996
John O'Kane,England,England,Defender,15-11-1974
Tommy O'Neil,England,England,Midfielder,25-10-1952
John O'Shea,Ireland,Ireland,Defender,30-04-1981
Peter O'Sullivan,Wales,Wales,Midfielder,04-03-1951
Gabriel Obertan,France,France,Forward,26-02-1989
Les Olive,England,England,Goalkeeper,27-04-1928
Jesper Olsen,Denmark,Denmark,Midfielder,20-03-1961
Bill Owen,England,England,Forward,17-09-1906
John Owen,Wales,Wales,Defender,1866
Michael Owen,England,England,Forward,14-12-1979
Louis Page,England,England,Midfielder,27/03/1899
Gary Pallister,England,England,Defender,30-06-1965
Ji-Sung Park,South Korea,South Korea,Midfielder,25-02-1981
Paul Parker,England,England,Defender,04-04-1964
Thomas Parker,England,England,Midfielder,22-11-1906
Ted Partridge,England,England,Forward,13/02/1891
Steve Paterson,Scotland,Scotland,Defender,07-04-1958
Steve Pears,England,England,Goalkeeper,22-01-1962
Mark Pearson,England,England,Forward,28-10-1939
Stan Pearson,England,England,Forward,11-01-1919
Stuart Pearson,England,England,Forward,21-06-1949
Jock Peddie,Scotland,Scotland,Forward,03/03/1876
John Peden,Northern Ireland,Northern Ireland,Forward,12/07/1863
David Pegg,England,England,Forward,20-09-1935
Ken Pegg,England,England,Goalkeeper,04-01-1926
Facundo Pellistri,Uruguay,Uruguay,Forward,20-12-2001
Mike Phelan,England,England,Midfielder,24-09-1962
Kevin Pilkington,England,England,Goalkeeper,08-03-1974
Mike Pinner,England,England,Goalkeeper,16-02-1934
Piqué,Spain,Spain,Defender,02-02-1987
Tom Pirie,Scotland,Scotland,Midfielder,09/12/1896
David Platt,England,England,Midfielder,10-06-1966
Karel Poborský,Czech Republic,Czech Republic,Midfielder,30-03-1972
Paul Pogba,France,France,Midfielder,15-03-1993
Regan Poole,Wales,Wales,Defender,18-06-1998
Terry Poole,England,England,Goalkeeper,16-12-1949
Billy Porter,England,England,Defender,Jul-05
Jack Powell,Wales,Wales,Defender,25/03/1860
Nick Powell,England,England,Midfielder,23-03-1994
William Prunier,France,France,Defender,14-08-1967
Danny Pugh,England,England,Midfielder,19-10-1982
Albert Quixall,England,England,Forward,09-08-1933
Paul Rachubka,England,England,Goalkeeper,21-05-1981
Rafael,Brazil,Brazil,Defender,09-07-1990
Largie Ramazani,Belgium,Belgium,Forward,27-02-2001
Charlie Ramsden,England,England,Forward,11-06-1904
Marcus Rashford,England,England,Forward,31-10-1997
Simon Ratcliffe,England,England,Defender,08-02-1967
Bill Rawlings,England,England,Forward,03/01/1896
Billy Redman,England,England,Defender,29-01-1928
Hubert Redwood,England,England,Defender,13-06-1913
Tommy Reid,Scotland,Scotland,Forward,15-08-1905
Ricardo,Spain,Spain,Goalkeeper,30-12-1971
Kieran Richardson,England,England,Midfielder,21-10-1984
Lance Richardson,England,England,Goalkeeper,01/04/1899
Bill Ridding,England,England,Forward,04-04-1911
Joe Riley,England,England,Defender,06-12-1996
Jimmy Rimmer,England,England,Goalkeeper,10-02-1948
Andy Ritchie,England,England,Forward,28-11-1960
David Robbie,Scotland,Scotland,Forward,06/10/1899
Charlie Roberts,England,England,Midfielder,06/04/1883
William Robertson,Scotland,Scotland,Midfielder,20-04-1907
Mark Robins,England,England,Forward,22-12-1969
James Robinson,Northern Ireland,Northern Ireland,Forward,08/01/1899
Matt Robinson,England,England,Forward,21-04-1907
Bryan Robson,England,England,Midfielder,11-01-1957
Lee Roche,England,England,Defender,28-10-1980
Paddy Roche,Ireland,Ireland,Goalkeeper,04-01-1951
Rodrigo Possebon,Italy,Italy,Midfielder,13-02-1989
Martyn Rogers,England,England,Defender,26-01-1960
Marcos Rojo,Argentina,Argentina,Defender,20-03-1990
Sergio Romero,Argentina,Argentina,Goalkeeper,22-02-1987
Wayne Rooney,England,England,Forward,24-10-1985
Giuseppe Rossi,Italy,Italy,Forward,01-02-1987
Joe Rothwell,England,England,Midfielder,11-01-1995
George Roughton,England,England,Defender,11-04-1909
Harry Rowley,England,England,Forward,23-01-1904
Jack Rowley,England,England,Forward,07-10-1920
Jimmy Ryan,Scotland,Scotland,Forward,12-05-1945
David Sadler,England,England,Midfielder,05-02-1946
Charlie Sagar,England,England,Forward,28/03/1878
Louis Saha,France,France,Forward,08-08-1978
Alexis Sánchez,Chile,Chile,Forward,19-12-1988
Jadon Sancho,England,England,Forward,25-03-2000
Carlo Sartori,Italy,Italy,Midfielder,10-02-1948
Charlie Savage,Wales,Wales,Midfielder,02-05-2003
Robbie Savage,Wales,Wales,Midfielder,18-10-1974
Ted Savage,England,England,Midfielder,Feb-12
Albert Scanlon,England,England,Forward,10-10-1935
Peter Schmeichel,Denmark,Denmark,Goalkeeper,18-11-1963
Morgan Schneiderlin,France,France,Midfielder,08-11-1989
Paul Scholes,England,England,Midfielder,16-11-1974
Bastian Schweinsteiger,Germany,Germany,Midfielder,01-08-1984
Jackie Scott,Northern Ireland,Northern Ireland,Forward,22-12-1933
Les Sealey,England,England,Goalkeeper,29-09-1957
Maurice Setters,England,England,Midfielder,16-12-1936
Lee Sharpe,England,England,Midfielder,27-05-1971
Luke Shaw,England,England,Defender,12-07-1995
Ryan Shawcross,England,England,Defender,04-10-1987
Teddy Sheringham,England,England,Forward,02-04-1966
Shola Shoretire,Nigeria,Nigeria,Forward,02-02-2004
Arnold Sidebottom,England,England,Defender,01-04-1954
Jack Silcock,England,England,Defender,15/01/1898
Mikaël Silvestre,France,France,Defender,09-08-1977
Danny Simpson,England,England,Defender,04-01-1987
John Sivebæk,Denmark,Denmark,Defender,25-10-1961
Paddy Sloan,Northern Ireland,Northern Ireland,Midfielder,30-04-1920
Tom Sloan,Northern Ireland,Northern Ireland,Midfielder,10-07-1959
Chris Smalling,England,England,Defender,22-11-1989
Alan Smith,England,England,Forward,28-10-1980
Albert Smith,Scotland,Scotland,Forward,1905
Jack Smith,England,England,Forward,07-02-1915
Ole Gunnar Solskjær,Norway,Norway,Forward,26-02-1973
Jonathan Spector,USA,USA,Defender,01-03-1986
Joe Spence,England,England,Forward,15/12/1898
Charles Spencer,England,England,Defender,04/12/1899
Jaap Stam,Netherlands,Netherlands,Defender,17-07-1972
Frank Stapleton,Ireland,Ireland,Forward,10-07-1956
Luke Steele,England,England,Goalkeeper,24-09-1984
Alex Stepney,England,England,Goalkeeper,18-09-1942
Alf Steward,England,England,Goalkeeper,18/12/1898
Cameron Stewart,England,England,Midfielder,08-04-1991
Michael Stewart,Scotland,Scotland,Midfielder,26-02-1981
Nobby Stiles,England,England,Midfielder,18-05-1942
Ian Storey-Moore,England,England,Midfielder,17-01-1945
Gordon Strachan,Scotland,Scotland,Midfielder,09-02-1957
Eric Sweeney,England,England,Forward,03-10-1905
Massimo Taibi,Italy,Italy,Goalkeeper,18-02-1970
Norman Tapken,England,England,Goalkeeper,21-02-1913
Alan Tate,England,England,Defender,02-09-1982
Chris Taylor,England,England,Forward,18/10/1899
Ernie Taylor,England,England,Forward,02-09-1925
Max Taylor,England,England,Defender,10-01-2000
Tommy Taylor,England,England,Forward,29-01-1932
Walter Taylor,England,England,Forward,1901
Paul Teather,England,England,Midfielder,26-12-1977
Carlos Tévez,Argentina,Argentina,Forward,05-02-1984
Harry Thomas,Wales,Wales,Forward,28-02-1901
Mickey Thomas,Wales,Wales,Midfielder,07-07-1954
Ernie Thompson,England,England,Forward,21-06-1909
Arthur Thomson,England,England,Forward,Jul-03
Ben Thornley,England,England,Midfielder,21-04-1975
Tom Thorpe,England,England,Defender,13-01-1993
Paul Tierney,Ireland,Ireland,Midfielder,15-09-1982
Mads Timm,Denmark,Denmark,Forward,31-10-1984
Mark Todd,Northern Ireland,Northern Ireland,Midfielder,04-12-1967
Graeme Tomlinson,England,England,Forward,10-12-1975
Zoran Toši?,Serbia,Serbia,Midfielder,28-04-1987
Wilf Tranter,England,England,Defender,05-03-1945
Axel Tuanzebe,England,England,Midfielder,14-11-1997
Ryan Tunnicliffe,England,England,Midfielder,30-12-1992
Alexander Turnbull,Scotland,Scotland,Forward,1884
Chris Turner,England,England,Goalkeeper,15-09-1958
Michael Twiss,England,England,Midfielder,26-12-1977
Gary Twynham,Wales,Wales,Midfielder,08-02-1976
Ian Ure,Scotland,Scotland,Defender,07-12-1939
Antonio Valencia,Ecuador,Ecuador,Midfielder,04-08-1985
Donny van de Beek,Netherlands,Netherlands,Midfielder,18-04-1997
Raimond van der Gouw,Netherlands,Netherlands,Goalkeeper,24-03-1963
Edwin van der Sar,Netherlands,Netherlands,Goalkeeper,29-10-1970
Ruud van Nistelrooy,Netherlands,Netherlands,Forward,01-07-1976
Robin van Persie,Netherlands,Netherlands,Forward,06-08-1983
Raphaël Varane,France,France,Defender,25-04-1993
Guillermo Varela,Uruguay,Uruguay,Defender,24-03-1993
Marnick Vermijl,Belgium,Belgium,Defender,13-01-1992
Juan Sebastián Verón,Argentina,Argentina,Midfielder,09-03-1975
Víctor Valdés,Spain,Spain,Goalkeeper,14-01-1982
Nemanja Vidi?,Serbia,Serbia,Defender,21-10-1981
Dennis Viollet,England,England,Forward,20-09-1933
George Vose,England,England,Midfielder,04-10-1911
Colin Waldron,England,England,Defender,22-06-1948
Dennis Walker,England,England,Midfielder,26-10-1944
George Wall,England,England,Midfielder,20/02/1885
Danny Wallace,England,England,Forward,21-01-1964
Ronnie Wallwork,England,England,Midfielder,10-09-1977
Gary Walsh,England,England,Goalkeeper,21-03-1968
Joe Walton,England,England,Defender,05-06-1925
Johnny Walton,England,England,Forward,21-03-1928
Aaron Wan-Bissaka,England,England,Defender,26-11-1997
Arthur Warburton,England,England,Forward,10-09-1909
Jack Warner,Wales,Wales,Defender,21-09-1911
Jackie Wassall,England,England,Forward,11-02-1917
Willie Watson,Scotland,Scotland,Defender,04-12-1949
Jeffrey Wealands,England,England,Goalkeeper,26-08-1951
Neil Webb,England,England,Midfielder,30-07-1963
Danny Webber,England,England,Forward,28-12-1981
Colin Webster,Wales,Wales,Forward,17-07-1932
James Weir,England,England,Midfielder,04-08-1995
Danny Welbeck,England,England,Forward,26-11-1990
Charlie Wellens,England,England,Defender,05-12-2002
Richie Wellens,England,England,Midfielder,26-03-1980
Enoch West,England,England,Forward,1884
Bert Whalley,England,England,Midfielder,06-08-1912
Anto Whelan,Ireland,Ireland,Defender,23-11-1959
Liam Whelan,Ireland,Ireland,Midfielder,01-04-1935
Jeff Whitefoot,England,England,Midfielder,31-12-1933
Walter Whitehurst,England,England,Midfielder,07-06-1934
Norman Whiteside,Northern Ireland,Northern Ireland,Forward,07-05-1965
Neil Whitworth,England,England,Defender,12-04-1972
Ray Wilkins,England,England,Midfielder,14-09-1956
Ben Williams,England,England,Goalkeeper,27-08-1982
Brandon Williams,England,England,Defender,03-09-2000
Frank Williams,England,England,Midfielder,1908
Owen Williams,England,England,Midfielder,23/09/1896
Rees Williams,Wales,Wales,Midfielder,Jan-00
Ro-Shaun Williams,England,England,Defender,03-09-1998
Matty Willock,Montserrat,Montserrat,Midfielder,20-08-1996
David Wilson,England,England,Midfielder,23-03-1969
Jack Wilson,England,England,Midfielder,08/03/1897
James Wilson,England,England,Forward,01-12-1995
Mark Wilson,England,England,Midfielder,09-02-1979
Walter Winterbottom,England,England,Defender,31-01-1913
Dick Wombwell,England,England,Forward,1877
Neil Wood,England,England,Forward,04-01-1983
Nicholas Wood,England,England,Forward,06-01-1966
Ray Wood,England,England,Goalkeeper,11-06-1931
Scott Wootton,England,England,Defender,12-09-1991
Harry Worrall,England,England,Defender,19-11-1918
Paul Wratten,England,England,Midfielder,29-11-1970
Billy Wrigglesworth,England,England,Forward,12-11-1912
Dwight Yorke,Trinidad & Tobago,Trinidad & Tobago,Forward,03-11-1971
Ashley Young,England,England,Midfielder,09-07-1985
Tony Young,England,England,Defender,24-12-1952
Wilfried Zaha,Ivory Coast,Ivory Coast,Forward,10-11-1992
Ron-Robert Zieler,Germany,Germany,Goalkeeper,12-02-1989
